ID_HDC_G0;QA2_1V;AREA;BBX_LATMN;BBX_LONMN;BBX_LATMX;BBX_LONMX;GCPNT_LAT;GCPNT_LON;CTR_MN_NM;CTR_MN_ISO;XBRDR;XCTR_NBR;XC_NM_LST;XC_ISO_LST;GRGN_L1;GRGN_L2;UC_NM_MN;UC_NM_LST;UC_NM_SRC;H75_NBR;H90_NBR;H00_NBR;H75_AREA
9112;1;21;8.552767037;81.18186042;8.609625392;81.24214398;8.58196939;81.21575027;Sri Lanka;LKA;0;1;Sri Lanka;LKA;Asia;South-Central Asia;Trincomalee;Trincomalee;GISCO OSM;0;1;1;0
9113;2;10;26.1076075;86.18953215;26.13288794;86.24672162;26.12361821;86.21687709;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;1;0
9114;2;16;22.17099899;84.5607508;22.2209728;84.61193967;22.19910843;84.58742273;India;IND;0;1;India;IND;Asia;South-Central Asia;Rajgangpur;Rajgangpur;GISCO OSM;1;1;1;8
9115;1;11;18.55650513;83.33414567;18.58952404;83.38038707;18.57263907;83.35636624;India;IND;0;1;India;IND;Asia;South-Central Asia;Bobbili;Bobbili;GISCO OSM;1;1;1;8
9116;1;12;17.64118448;83.06541997;17.67413763;83.10566751;17.65766076;83.0855403;India;IND;0;1;India;IND;Asia;South-Central Asia;Paravada;Paravada;;;;;
9117;1;18;26.2171711;86.25729227;26.29304575;86.3058407;26.25510608;86.27918235;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;1;1;0
9118;2;18;26.14974273;86.22337816;26.2171711;86.27965014;26.18017731;86.25182205;India;IND;0;1;India;IND;Asia;South-Central Asia;Jhanjharpur;Jhanjharpur;GISCO OSM;0;0;1;0
9119;2;9;24.84617604;85.6514088;24.89653778;85.68681475;24.87741805;85.66858005;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;1;0
9120;2;5;24.29270633;85.39918288;24.31784398;85.43081092;24.30359908;85.41535162;India;IND;0;1;India;IND;Asia;South-Central Asia;Barhi;Barhi;GISCO OSM;0;1;1;0
9121;1;10;18.76291345;83.40974183;18.79594769;83.44576391;18.77943026;83.42775174;India;IND;0;1;India;IND;Asia;South-Central Asia;Parvathipuram;Parvathipuram;GISCO OSM;1;1;1;7
9122;1;210;17.64942255;83.08510698;17.83069664;83.35551316;17.7159993;83.23285492;India;IND;0;1;India;IND;Asia;South-Central Asia;Visakhapatnam;Visakhapatnam;GISCO OSM;1;1;1;107
9123;2;3;23.28872501;85.00502266;23.30543408;85.02936516;23.29847187;85.01784334;India;IND;0;1;India;IND;Asia;South-Central Asia;Bero;Bero;GISCO OSM;0;0;1;0
9124;2;13;25.57719333;85.98556157;25.62767021;86.02874218;25.60210719;86.00628111;India;IND;0;1;India;IND;Asia;South-Central Asia;N/A;-;N/A;0;0;0;0
9125;1;25;25.3669597;85.8922617;25.40899528;86.00542121;25.38629538;85.93917531;India;IND;0;1;India;IND;Asia;South-Central Asia;Mokama;Mokama;GISCO OSM;0;1;1;0
9126;2;5;24.37650588;85.46943938;24.40164986;85.4976151;24.3907539;85.48352842;India;IND;0;1;India;IND;Asia;South-Central Asia;Chandwara;Chandwara;GISCO OSM;0;0;0;0
9127;2;7;20.18567995;83.89562546;20.21053852;83.92951976;20.19810905;83.91257218;India;IND;0;1;India;IND;Asia;South-Central Asia;Baliguda;Baliguda;GISCO OSM;0;0;1;0
9128;1;19;6.961970821;81.04034711;7.010635608;81.09219894;6.981820697;81.06296718;Sri Lanka;LKA;0;1;Sri Lanka;LKA;Asia;South-Central Asia;Badulla;Badulla;GISCO OSM;0;0;1;0
