X.U.FEFF.ID_HDC_G0;QA2_1V;AREA;BBX_LATMN;BBX_LONMN;BBX_LATMX;BBX_LONMX;GCPNT_LAT;GCPNT_LON;CTR_MN_NM;CTR_MN_ISO;XBRDR;XCTR_NBR;XC_NM_LST;XC_ISO_LST;GRGN_L1;GRGN_L2;UC_NM_MN;UC_NM_LST;UC_NM_SRC;H75_NBR;H90_NBR;H00_NBR;H75_AREA;H90_AREA;H00_AREA;E_BM_NM_LST;E_SL_LST;EL_AV_ALS;E_KG_NM_LST;E_RB_NM_LST;E_WR_P_90;E_WR_P_00;E_WR_P_14;E_WR_T_90;E_WR_T_00;E_WR_T_14
4952;1;24;21.29753501;39.14092315;21.33908305;39.2284354;21.31761601;39.18984422;Saudi Arabia;SAU;0;1;Saudi Arabia;SAU;Asia;Western Asia;N/A;-;N/A;0;0;0;0;0;0;Deserts and Xeric Shrublands;Calcisols;13.05087068;Desert (arid), and  Hot arid;NAN;36.45000029;70.30000019;45.07500124;28.70659256;29.30792665;29.69330454
4953;1;5;8.958970722;37.75140568;8.98334839;37.77307905;8.969534301;37.76314262;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Gouder;Gouder;GISCO OSM;0;0;1;0;0;3;Montane Grasslands and Shrublands;Vertisols;2005.71874;Mild temperate with dry winter, and  Warm summer;Nile;1428.900024;1295.625061;1463.125031;15.82304764;16.10626698;16.69080257
4954;1;7;7.180977783;37.64943303;7.20531436;37.68034398;7.19546378;37.66479906;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Hadero;Hadero;GISCO OSM;0;0;1;0;0;4;Tropical and Subtropical Moist Broadleaf Forests;Nitisols;1637.509161;Tropical savannah with dry winter;Lake Turkana;1185.350037;1078.100021;1253.475006;19.27102661;19.66891432;20.14112043
4955;2;6;6.913307966;37.63560284;6.937639152;37.66687018;6.925473499;37.65290623;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Gununew;Gununew;GISCO OSM;0;1;1;0;1;3;Montane Grasslands and Shrublands;Nitisols;2061.223238;Mild temperate, fully humid, and  Warm summer;Lake Turkana;1240.475037;1131.075043;1364.625031;18.65624285;19.03558111;19.50558329
4956;1;68;-6.864647029;37.62967759;-6.751112229;37.73106934;-6.804896866;37.6683395;Tanzania;TZA;0;1;Tanzania;TZA;Africa;Eastern Africa;Morogoro;Morogoro;GISCO OSM;0;1;1;0;35;47;Tropical and subtropical grasslands, savannas, and shrublands;Ferralsols;503.4875335;Tropical savannah with dry winter;Ruvu;840.3750153;770.8250122;687.4000092;24.73831511;24.94493675;25.13325691
4957;1;13;39.53180961;44.04522792;39.56750801;44.10741021;39.55000121;44.07648498;Turkey;TUR;0;1;Turkey;TUR;Asia;Western Asia;Do?ubayaz?t;Do?ubayaz?t;GISCO OSM;0;1;1;0;10;10;Temperate Grasslands, Savannas, and Shrublands;Leptosols;1596.536119;Snow, fully humid, and  Hot summer;Kura;319.0500107;286.8500023;322.6999969;9.603766441;10.36130619;10.60033703
4958;2;3;13.93932283;38.17451919;13.95568448;38.19652018;13.94886707;38.18396466;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;??????/Inda Aba Guna;??????/Inda Aba Guna;GISCO OSM;0;1;1;0;1;2;Tropical and Subtropical Moist Broadleaf Forests;Cambisols;1773.386354;Tropical savannah with dry winter;Nile;594.2000046;646.2000122;595.1500092;23.03689146;23.37507963;23.86513805
4959;2;3;6.467319456;37.62442027;6.483534517;37.64520074;6.474075707;37.63641755;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Boreda;Boreda;GISCO OSM;0;0;0;0;0;0;Montane Grasslands and Shrublands;Vertisols;2266.072616;Mild temperate, fully humid, and  Warm summer;Lake Turkana;1204.575012;1058.750015;1383.875;18.71626043;19.12935877;19.54719877
4960;2;3;12.99925586;38.09208657;13.01559293;38.1139153;13.00606292;38.10456113;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Mekanebirhan;Mekanebirhan;GISCO OSM;0;1;1;0;2;2;Montane Grasslands and Shrublands;Leptosols;2941.815425;Mild temperate with dry winter, and  Warm summer;Nile;853.9249878;926.5750122;861.1500244;18.23265171;18.5629015;19.04708529
4961;1;11;11.84849614;37.98882116;11.87296044;38.04949003;11.85850416;38.01609776;Ethiopia;ETH;0;1;Ethiopia;ETH;Africa;Eastern Africa;Debre Tabor;Debre Tabor;GISCO OSM;0;0;1;0;0;9;Montane Grasslands and Shrublands;Luvisols;2652.090498;Mild temperate with dry winter, and  Warm summer;Nile;1131.775024;1353.800018;1292.150024;15.76995301;16.12030864;16.62715673
